,category,nominee,year,winner
0,Actor,Emil Jannings,1929,1.0
2,Actor,Richard Barthelmess,1929,0.0
4,Actress,Janet Gaynor,1929,1.0
7,Actress,Louise Dresser,1929,0.0
8,Actress,Gloria Swanson,1929,0.0
9,Art Direction,The Dove,1929,1.0
10,Art Direction,Tempest,1929,0.0
11,Art Direction,Sunrise,1929,0.0
12,Art Direction,7th Heaven,1929,0.0
13,Cinematography,Sunrise,1929,1.0
15,Cinematography,The Devil Dancer,1929,0.0
16,Cinematography,The Magic Flame,1929,0.0
17,Cinematography,Sadie Thompson,1929,0.0
18,Directing (Comedy Picture),Two Arabian Knights,1929,1.0
19,Directing (Comedy Picture),Speedy,1929,0.0
20,Directing (Dramatic Picture),7th Heaven,1929,1.0
21,Directing (Dramatic Picture),Sorrell and Son,1929,0.0
22,Directing (Dramatic Picture),The Crowd,1929,0.0
23,Engineering Effects,Wings,1929,1.0
24,Engineering Effects,,1929,0.0
26,Outstanding Picture,Wings,1929,1.0
27,Outstanding Picture,The Racket,1929,0.0
28,Outstanding Picture,7th Heaven,1929,0.0
29,Special Award,The Circus,1929,1.0
30,Special Award,The Jazz Singer,1929,0.0
31,Unique and Artistic Picture,Sunrise,1929,1.0
32,Unique and Artistic Picture,The Crowd,1929,0.0
33,Unique and Artistic Picture,Chang,1929,0.0
34,Writing (Adaptation),7th Heaven,1929,1.0
35,Writing (Adaptation),The Jazz Singer,1929,0.0
36,Writing (Adaptation),Glorious Betsy,1929,0.0
37,Writing (Original Story),Underworld,1929,1.0
38,Writing (Original Story),The Last Command,1929,0.0
39,Writing (Title Writing),,1929,1.0
40,Writing (Title Writing),The Private Life of Helen of Troy,1929,0.0
42,Actor,Warner Baxter,1930,1.0
43,Actor,George Bancroft,1930,0.0
44,Actor,Chester Morris,1930,0.0
45,Actor,Paul Muni,1930,1.0
46,Actor,Lewis Stone,1930,0.0
47,Actress,Mary Pickford,1930,1.0
48,Actress,Ruth Chatterton,1930,0.0
49,Actress,Betty Compson,1930,0.0
50,Actress,Jeanne Eagels,1930,0.0
51,Actress,Corinne Griffith,1930,0.0
52,Actress,Bessie Love,1930,0.0
53,Art Direction,The Bridge of San Luis Rey,1930,1.0
54,Art Direction,The Patriot,1930,0.0
55,Art Direction,Dynamite,1930,0.0
56,Art Direction,Alibi,1930,0.0
57,Art Direction,The Awakening,1930,0.0
58,Art Direction,Street Angel,1930,0.0
59,Cinematography,White Shadows in the South Seas,1930,1.0
60,Cinematography,Our Dancing Daughters,1930,0.0
61,Cinematography,In Old Arizona,1930,0.0
62,Cinematography,Four Devils,1930,0.0
63,Cinematography,Street Angel,1930,0.0
64,Cinematography,The Divine Lady,1930,0.0
65,Directing,The Divine Lady,1930,1.0
66,Directing,Madame X,1930,0.0
67,Directing,The Broadway Melody,1930,0.0
68,Directing,In Old Arizona,1930,0.0
69,Directing,Drag,1930,0.0
70,Directing,Weary River,1930,0.0
71,Directing,The Patriot,1930,0.0
72,Outstanding Picture,The Broadway Melody,1930,1.0
73,Outstanding Picture,Alibi,1930,0.0
74,Outstanding Picture,In Old Arizona,1930,0.0
75,Outstanding Picture,Hollywood Revue,1930,0.0
76,Outstanding Picture,The Patriot,1930,0.0
77,Writing,The Patriot,1930,1.0
78,Writing,The Valiant,1930,0.0
79,Writing,In Old Arizona,1930,0.0
80,Writing,The Leatherneck,1930,0.0
81,Writing,Sal of Singapore,1930,0.0
82,Writing,Skyscraper,1930,0.0
83,Writing,The Cop,1930,0.0
84,Writing,The Last of Mrs. Cheyney,1930,0.0
85,Writing,Our Dancing Daughters,1930,0.0
86,Writing,Wonder of Women,1930,0.0
87,Writing,A Woman of Affairs,1930,0.0
88,Actor,George Arliss,1931,1.0
90,Actor,Wallace Beery,1931,1.0
91,Actor,Maurice Chevalier,1931,0.0
93,Actor,Ronald Colman,1931,1.0
95,Actor,Lawrence Tibbett,1931,0.0
96,Actress,Norma Shearer,1931,1.0
97,Actress,Nancy Carroll,1931,0.0
98,Actress,Ruth Chatterton,1931,0.0
99,Actress,Greta Garbo,1931,0.0
102,Actress,Gloria Swanson,1931,0.0
103,Art Direction,King of Jazz,1931,1.0
104,Art Direction,Bulldog Drummond,1931,0.0
105,Art Direction,The Love Parade,1931,0.0
106,Art Direction,Sally,1931,0.0
107,Art Direction,The Vagabond King,1931,0.0
108,Cinematography,With Byrd at the South Pole,1931,1.0
109,Cinematography,All Quiet on the Western Front,1931,0.0
110,Cinematography,Anna Christie,1931,0.0
111,Cinematography,Hell's Angels,1931,0.0
112,Cinematography,The Love Parade,1931,0.0
113,Directing,All Quiet on the Western Front,1931,1.0
114,Directing,Anna Christie,1931,0.0
115,Directing,Romance,1931,0.0
116,Directing,The Divorcee,1931,0.0
117,Directing,The Love Parade,1931,0.0
118,Directing,Hallelujah,1931,0.0
119,Outstanding Production,All Quiet on the Western Front,1931,1.0
120,Outstanding Production,The Big House,1931,0.0
121,Outstanding Production,Disraeli,1931,0.0
122,Outstanding Production,The Divorcee,1931,0.0
123,Outstanding Production,The Love Parade,1931,0.0
124,Sound Recording,The Big House,1931,1.0
125,Sound Recording,The Case of Sergeant Grischa,1931,0.0
126,Sound Recording,The Love Parade,1931,0.0
127,Sound Recording,Raffles,1931,0.0
128,Sound Recording,Song of the Flame,1931,0.0
129,Writing,The Big House,1931,1.0
130,Writing,All Quiet on the Western Front,1931,0.0
131,Writing,Disraeli,1931,0.0
132,Writing,The Divorcee,1931,0.0
133,Writing,Street of Chance,1931,0.0
134,Actor,Lionel Barrymore,1932,1.0
135,Actor,Jackie Cooper,1932,0.0
136,Actor,Richard Dix,1932,0.0
137,Actor,Fredric March,1932,1.0
138,Actor,Adolphe Menjou,1932,0.0
139,Actress,Marie Dressler,1932,1.0
140,Actress,Marlene Dietrich,1932,0.0
141,Actress,Irene Dunne,1932,0.0
142,Actress,Ann Harding,1932,0.0
143,Actress,Norma Shearer,1932,1.0
144,Art Direction,Cimarron,1932,1.0
145,Art Direction,Just Imagine,1932,0.0
146,Art Direction,Morocco,1932,0.0
147,Art Direction,Svengali,1932,0.0
148,Art Direction,Whoopee!,1932,0.0
149,Cinematography,Tabu,1932,1.0
150,Cinematography,Cimarron,1932,0.0
151,Cinematography,Morocco,1932,0.0
152,Cinematography,The Right to Love,1932,0.0
153,Cinematography,Svengali,1932,0.0
154,Directing,Skippy,1932,1.0
155,Directing,Cimarron,1932,0.0
156,Directing,A Free Soul,1932,0.0
157,Directing,The Front Page,1932,0.0
158,Directing,Morocco,1932,0.0
159,Outstanding Production,Cimarron,1932,1.0
160,Outstanding Production,East Lynne,1932,0.0
161,Outstanding Production,The Front Page,1932,0.0
162,Outstanding Production,Skippy,1932,0.0
163,Outstanding Production,Trader Horn,1932,0.0
164,Sound Recording,,1932,1.0
172,Writing (Adaptation),Cimarron,1932,1.0
173,Writing (Adaptation),The Criminal Code,1932,0.0
174,Writing (Adaptation),Holiday,1932,0.0
175,Writing (Adaptation),Little Caesar,1932,0.0
176,Writing (Adaptation),Skippy,1932,0.0
177,Writing (Original Story),The Dawn Patrol,1932,1.0
178,Writing (Original Story),The Doorway to Hell,1932,0.0
179,Writing (Original Story),Laughter,1932,0.0
180,Writing (Original Story),The Public Enemy,1932,0.0
181,Writing (Original Story),Smart Money,1932,0.0
182,Actor,Wallace Beery,1933,1.0
183,Actor,Fredric March,1933,1.0
184,Actor,Alfred Lunt,1933,0.0
185,Actress,Helen Hayes,1933,1.0
186,Actress,Marie Dressler,1933,1.0
187,Actress,Lynn Fontanne,1933,0.0
188,Art Direction,Transatlantic,1933,1.0
189,Art Direction,,1933,0.0
190,Art Direction,Arrowsmith,1933,0.0
191,Cinematography,Shanghai Express,1933,1.0
192,Cinematography,Arrowsmith,1933,0.0
193,Cinematography,Dr. Jekyll and Mr. Hyde,1933,0.0
194,Directing,Bad Girl,1933,1.0
195,Directing,The Champ,1933,0.0
196,Directing,Shanghai Express,1933,0.0
197,Outstanding Production,Grand Hotel,1933,1.0
198,Outstanding Production,Arrowsmith,1933,0.0
199,Outstanding Production,Bad Girl,1933,0.0
200,Outstanding Production,The Champ,1933,0.0
201,Outstanding Production,Five Star Final,1933,0.0
202,Outstanding Production,One Hour with You,1933,0.0
203,Outstanding Production,Shanghai Express,1933,0.0
204,Outstanding Production,The Smiling Lieutenant,1933,0.0
205,Short Subject (Cartoon),Flowers and Trees,1933,1.0
206,Short Subject (Cartoon),It's Got Me Again,1933,0.0
