,title,runtime,rating,genre,summary
0,1.Nomadland(2020),107 min,R,Drama,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad."
1,2.The Father(I) (2020),97 min,PG-13,"Drama, Mystery",
2,3.Judas and the Black Messiah(2021),126 min,R,"Biography, Drama, History","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
3,4.Mank(2020),131 min,R,"Biography, Comedy, Drama","Offered a plea deal by the FBI, William O'Neal infiltrates the Illinois chapter of the Black Panther Party to gather intelligence on Chairman Fred Hampton."
4,5.Minari(2020),115 min,PG-13,Drama,1930s Hollywood is re-evaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).
5,6.Promising Young Woman(2020),113 min,R,"Crime, Drama, Mystery",A Korean family starts a farm in 1980s Arkansas.
6,7.Sound of Metal(2019),120 min,R,"Drama, Music","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path."
7,8.The Trial of the Chicago 7(2020),129 min,R,"Drama, History, Thriller",A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.
8,9.Parasite(2019),132 min,R,"Comedy, Drama, Thriller","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
9,10.Ford v Ferrari(2019),152 min,PG-13,"Action, Biography, Drama",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
10,11.Joker(I) (2019),122 min,R,"Crime, Drama, Thriller",
11,12.Marriage Story(2019),137 min,R,"Drama, Romance",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
12,13.The Irishman(2019),209 min,R,"Biography, Crime, Drama",A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.
13,14.1917(2019),119 min,R,"Action, Drama, War",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
14,15.Jojo Rabbit(2019),108 min,PG-13,"Comedy, Drama, War",Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.
15,16.Little Women(2019),135 min,PG,"Drama, Romance","April 6th, As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
16,17.Once Upon a Time... In Hollywood(2019),161 min,R,"Comedy, Drama",A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.
17,18.Green Book(2018),130 min,PG-13,"Biography, Comedy, Drama","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
18,19.Black Panther(2018),134 min,PG-13,"Action, Adventure, Sci-Fi",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
19,20.BlacKkKlansman(2018),135 min,R,"Biography, Comedy, Crime",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
20,21.Bohemian Rhapsody(2018),134 min,PG-13,"Biography, Drama, Music",
21,22.The Favourite(2018),119 min,R,"Biography, Comedy, Drama","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
22,23.Roma(2018),135 min,R,Drama,"Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events."
23,24.A Star Is Born(2018),136 min,R,"Drama, Music, Romance","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
24,25.Vice(I) (2018),132 min,R,"Biography, Comedy, Drama","In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne."
25,26.The Shape of Water(2017),123 min,R,"Drama, Fantasy, Romance",A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
26,27.Dunkirk(2017),106 min,PG-13,"Action, Drama, History",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
27,"28.Three Billboards Outside Ebbing, Missouri(2017)",115 min,R,"Comedy, Crime, Drama","The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that is still felt today."
28,29.Lady Bird(2017),94 min,R,"Comedy, Drama","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
29,30.The Post(2017),116 min,PG-13,Drama,
30,31.Get Out(I) (2017),104 min,R,"Horror, Mystery, Thriller","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
31,32.Call Me by Your Name(2017),132 min,R,"Drama, Romance",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
32,33.Darkest Hour(2017),125 min,PG-13,"Biography, Drama, War","In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California."
33,34.All the Money in the World(2017),132 min,R,"Biography, Crime, Drama",A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.
34,35.Moonlight(I) (2016),111 min,R,Drama,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
35,36.Arrival(II) (2016),116 min,PG-13,"Drama, Mystery, Sci-Fi","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
