,film,film_studio,film_studio/producer(s),producer(s),films,oscars_year
0,,,,,,1927
1,Wings,Famous Players-Lasky,,,,1927
2,7th Heaven,Fox,,,,1927
3,The Racket,The Caddo Company,,,,1927
4,,,,,,1928
5,The Broadway Melody,Metro-Goldwyn-Mayer,,,,1928
6,Alibi,Feature Productions,,,,1928
7,Hollywood Revue,Metro-Goldwyn-Mayer,,,,1928
8,In Old Arizona,Fox,,,,1928
9,The Patriot,Paramount Famous Lasky,,,,1928
10,,,,,,1929
11,All Quiet on the Western Front,Universal,,,,1929
12,The Big House,Cosmopolitan,,,,1929
13,Disraeli,Warner Bros.,,,,1929
14,The Divorcee,Metro-Goldwyn-Mayer,,,,1929
15,The Love Parade,Paramount Famous Lasky,,,,1929
16,,,,,,1930
17,Cimarron,RKO Radio,,,,1930
18,East Lynne,Fox,,,,1930
19,The Front Page,The Caddo Company,,,,1930
20,Skippy,Paramount Publix,,,,1930
21,Trader Horn,Metro-Goldwyn-Mayer,,,,1930
22,,,,,,1931
23,Grand Hotel,Metro-Goldwyn-Mayer,,,,1931
24,Arrowsmith,Samuel Goldwyn Productions,,,,1931
25,Bad Girl,Fox,,,,1931
26,The Champ,Metro-Goldwyn-Mayer,,,,1931
27,Five Star Final,First National,,,,1931
28,One Hour with You,Paramount Publix,,,,1931
29,Shanghai Express,Paramount Publix,,,,1931
30,The Smiling Lieutenant,Paramount Publix,,,,1931
31,,,,,,1932
32,Cavalcade,Fox,,,,1932
33,42nd Street,Warner Bros.,,,,1932
34,A Farewell to Arms,Paramount,,,,1932
35,I Am a Fugitive from a Chain Gang,Warner Bros.,,,,1932
36,Lady for a Day,Columbia,,,,1932
37,Little Women,RKO Radio,,,,1932
38,The Private Life of Henry VIII,London Films,,,,1932
39,She Done Him Wrong,Paramount,,,,1932
40,Smilin' Through,Metro-Goldwyn-Mayer,,,,1932
41,State Fair,Fox,,,,1932
42,,,,,,1934
43,It Happened One Night,Columbia,,,,1934
44,The Barretts of Wimpole Street,Metro-Goldwyn-Mayer,,,,1934
45,Cleopatra,Paramount,,,,1934
46,Flirtation Walk,First National,,,,1934
47,The Gay Divorcee,RKO Radio,,,,1934
48,Here Comes the Navy,Warner Bros.,,,,1934
49,The House of Rothschild,20th Century,,,,1934
50,Imitation of Life,Universal,,,,1934
51,One Night of Love,Columbia,,,,1934
52,The Thin Man,Metro-Goldwyn-Mayer,,,,1934
53,Viva Villa!,Metro-Goldwyn-Mayer,,,,1934
54,The White Parade,Jesse L. Lasky (production company),,,,1934
55,,,,,,1935
56,Mutiny on the Bounty,Metro-Goldwyn-Mayer,,,,1935
57,Alice Adams,RKO Radio,,,,1935
58,Broadway Melody of 1936,Metro-Goldwyn-Mayer,,,,1935
59,Captain Blood,Cosmopolitan,,,,1935
60,David Copperfield,Metro-Goldwyn-Mayer,,,,1935
61,The Informer,RKO Radio,,,,1935
62,The Lives of a Bengal Lancer,Paramount,,,,1935
63,A Midsummer Night's Dream,Warner Bros.,,,,1935
64,Les Misérables,20th Century,,,,1935
65,Naughty Marietta,Metro-Goldwyn-Mayer,,,,1935
66,Ruggles of Red Gap,Paramount,,,,1935
67,Top Hat,RKO Radio,,,,1935
68,,,,,,1936
69,The Great Ziegfeld,Metro-Goldwyn-Mayer,,,,1936
70,Anthony Adverse,Warner Bros.,,,,1936
71,Dodsworth,Samuel Goldwyn Productions,,,,1936
72,Libeled Lady,Metro-Goldwyn-Mayer,,,,1936
73,Mr. Deeds Goes to Town,Columbia,,,,1936
74,Romeo and Juliet,Metro-Goldwyn-Mayer,,,,1936
75,San Francisco,Metro-Goldwyn-Mayer,,,,1936
76,The Story of Louis Pasteur,Cosmopolitan,,,,1936
77,A Tale of Two Cities,Metro-Goldwyn-Mayer,,,,1936
78,Three Smart Girls,Universal,,,,1936
79,,,,,,1937
80,The Life of Emile Zola,Warner Bros.,,,,1937
81,The Awful Truth,Columbia,,,,1937
82,Captains Courageous,Metro-Goldwyn-Mayer,,,,1937
83,Dead End,Samuel Goldwyn Productions,,,,1937
84,The Good Earth,Metro-Goldwyn-Mayer,,,,1937
85,In Old Chicago,20th Century-Fox,,,,1937
86,Lost Horizon,Columbia,,,,1937
87,One Hundred Men and a Girl,Universal,,,,1937
88,Stage Door,RKO Radio,,,,1937
89,A Star Is Born,Selznick International Pictures,,,,1937
90,,,,,,1938
91,You Can't Take It with You,Columbia,,,,1938
92,The Adventures of Robin Hood,Warner Bros.-First National,,,,1938
93,Alexander's Ragtime Band,20th Century-Fox,,,,1938
94,Boys Town,Metro-Goldwyn-Mayer,,,,1938
95,The Citadel,Metro-Goldwyn-Mayer,,,,1938
96,Four Daughters,Warner Bros.-First National,,,,1938
97,Grand Illusion,Realization D'Art Cinematographique,,,,1938
98,Jezebel,Warner Bros.,,,,1938
99,Pygmalion,Metro-Goldwyn-Mayer,,,,1938
100,Test Pilot,Metro-Goldwyn-Mayer,,,,1938
101,,,,,,1939
102,Gone with the Wind,Selznick International Pictures,,,,1939
103,Dark Victory,Warner Bros.-First National,,,,1939
104,"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer,,,,1939
105,Love Affair,RKO Radio,,,,1939
106,Mr. Smith Goes to Washington,Columbia,,,,1939
107,Ninotchka,Metro-Goldwyn-Mayer,,,,1939
108,Of Mice and Men,Hal Roach (production company),,,,1939
109,Stagecoach,Walter Wanger (production company),,,,1939
110,The Wizard of Oz,Metro-Goldwyn-Mayer,,,,1939
111,Wuthering Heights,Samuel Goldwyn Productions,,,,1939
112,,,,,,1940
113,Rebecca,Selznick International Pictures,,,,1940
114,"All This, and Heaven Too",Warner Bros.,,,,1940
115,Foreign Correspondent,Walter Wanger (production company),,,,1940
116,The Grapes of Wrath,20th Century-Fox,,,,1940
117,The Great Dictator,Charles Chaplin Productions,,,,1940
118,Kitty Foyle,RKO Radio,,,,1940
119,The Letter,Warner Bros.,,,,1940
120,The Long Voyage Home,Argosy-Wanger,,,,1940
121,Our Town,Sol Lesser (production company),,,,1940
122,The Philadelphia Story,Metro-Goldwyn-Mayer,,,,1940
123,,,,,,1941
124,How Green Was My Valley,20th Century-Fox,,,,1941
125,Blossoms in the Dust,Metro-Goldwyn-Mayer,,,,1941
126,Citizen Kane,Mercury,,,,1941
127,Here Comes Mr. Jordan,Columbia,,,,1941
128,Hold Back the Dawn,Paramount,,,,1941
129,The Little Foxes,Samuel Goldwyn Productions,,,,1941
130,The Maltese Falcon,Warner Bros.,,,,1941
131,One Foot in Heaven,Warner Bros.,,,,1941
132,Sergeant York,Warner Bros.,,,,1941
133,Suspicion,RKO Radio,,,,1941
134,,,,,,1942
135,Mrs. Miniver,Metro-Goldwyn-Mayer,,,,1942
136,49th Parallel[33],Ortus,,,,1942
137,Kings Row,Warner Bros.,,,,1942
138,The Magnificent Ambersons,Mercury,,,,1942
139,The Pied Piper,20th Century-Fox,,,,1942
140,The Pride of the Yankees,Samuel Goldwyn Productions,,,,1942
141,Random Harvest,Metro-Goldwyn-Mayer,,,,1942
142,The Talk of the Town,Columbia,,,,1942
143,Wake Island,Paramount,,,,1942
144,Yankee Doodle Dandy,Warner Bros.,,,,1942
145,,,,,,1943
146,Casablanca,Warner Bros.,,,,1943
147,For Whom the Bell Tolls,Paramount,,,,1943
148,Heaven Can Wait,20th Century-Fox,,,,1943
