,title,rating,genre,summary,gross,release_year,category,nominee,oscar_year,winner,genre_1,genre_2,genre_3,runtime_min,Year,avg_cpi,cpi_2020,gross_adjusted
0,Jojo Rabbit,PG-13,"Comedy, Drama, War",A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.,349555,2019,Best Picture,Jojo Rabbit,2020,0,Comedy, Drama, War,108,2020,258.8111667,258.811167,349555.0004
1,Sound of Metal,R,"Drama, Music",A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,516520,2019,Best Picture,Sound of Metal,2020,0,Drama, Music,,120,2020,258.8111667,258.811167,516520.0006
2,Marriage Story,R,"Drama, Romance",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,2000000,2019,Best Picture,Marriage Story,2020,0,Drama, Romance,,137,2020,258.8111667,258.811167,2000000.002
3,The Irishman,R,"Biography, Crime, Drama",Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,7000000,2019,Best Picture,The Irishman,2020,0,Biography, Crime, Drama,209,2020,258.8111667,258.811167,7000000.008
4,Parasite,R,"Comedy, Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,53367844,2019,Best Picture,Parasite,2020,1,Comedy, Drama, Thriller,132,2020,258.8111667,258.811167,53367844.06
5,Little Women,PG,"Drama, Romance","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",108101214,2019,Best Picture,Little Women,2020,0,Drama, Romance,,135,2020,258.8111667,258.811167,108101214.1
6,Ford v Ferrari,PG-13,"Action, Biography, Drama",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,117624028,2019,Best Picture,Ford v Ferrari,2020,0,Action, Biography, Drama,152,2020,258.8111667,258.811167,117624028.1
7,Once Upon a Time... In Hollywood,R,"Comedy, Drama",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,142502728,2019,Best Picture,Once upon a Time...in Hollywood,2020,0,Comedy, Drama,,161,2020,258.8111667,258.811167,142502728.2
8,1917,R,"Action, Drama, War","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",159227644,2019,Best Picture,1917,2020,0,Action, Drama, War,119,2020,258.8111667,258.811167,159227644.2
9,Joker,R,"Crime, Drama, Thriller",A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,335451311,2019,Best Picture,Joker,2020,0,Crime, Drama, Thriller,122,2020,258.8111667,258.811167,335451311.4
10,Roma,R,Drama,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,1140769,2018,Best Picture,Roma,2019,0,Drama,,,135,2019,255.6574167,258.811167,1154841.35
11,The Favourite,R,"Biography, Comedy, Drama","In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.",34366783,2018,Best Picture,The Favourite,2019,0,Biography, Comedy, Drama,119,2019,255.6574167,258.811167,34790726.31
12,Vice,R,"Biography, Comedy, Drama","The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that are still felt today.",47836282,2018,Best Picture,Vice,2019,0,Biography, Comedy, Drama,132,2019,255.6574167,258.811167,48426382.97
13,BlacKkKlansman,R,"Biography, Comedy, Crime","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",49275340,2018,Best Picture,BlacKkKlansman,2019,0,Biography, Comedy, Crime,135,2019,255.6574167,258.811167,49883192.96
14,Green Book,PG-13,"Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,85080171,2018,Best Picture,Green Book,2019,1,Biography, Comedy, Drama,130,2019,255.6574167,258.811167,86129706.81
15,A Star Is Born,R,"Drama, Music, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,215288866,2018,Best Picture,A Star Is Born,2019,0,Drama, Music, Romance,136,2019,255.6574167,258.811167,217944636.1
16,Bohemian Rhapsody,PG-13,"Biography, Drama, Music","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",216428042,2018,Best Picture,Bohemian Rhapsody,2019,0,Biography, Drama, Music,134,2019,255.6574167,258.811167,219097864.8
17,Black Panther,PG-13,"Action, Adventure, Sci-Fi","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",700059566,2018,Best Picture,Black Panther,2019,0,Action, Adventure, Sci-Fi,134,2019,255.6574167,258.811167,708695392.4
18,Call Me by Your Name,R,"Drama, Romance","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",18095701,2017,Best Picture,Call Me by Your Name,2018,0,Drama, Romance,,132,2018,251.1068333,258.811167,18650904.21
19,Phantom Thread,R,"Drama, Romance","Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.",21198205,2017,Best Picture,Phantom Thread,2018,0,Drama, Romance,,130,2018,251.1068333,258.811167,21848597.68
20,Lady Bird,R,"Comedy, Drama","In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.",48958273,2017,Best Picture,Lady Bird,2018,0,Comedy, Drama,,94,2018,251.1068333,258.811167,50460386.13
21,"Three Billboards Outside Ebbing, Missouri",R,"Comedy, Crime, Drama",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,54513740,2017,Best Picture,"Three Billboards outside Ebbing, Missouri",2018,0,Comedy, Crime, Drama,115,2018,251.1068333,258.811167,56186303.18
22,Darkest Hour,PG-13,"Biography, Drama, War","In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire.",56468410,2017,Best Picture,Darkest Hour,2018,0,Biography, Drama, War,125,2018,251.1068333,258.811167,58200945.39
23,The Shape of Water,R,"Drama, Fantasy, Romance","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",63859435,2017,Best Picture,The Shape of Water,2018,1,Drama, Fantasy, Romance,123,2018,251.1068333,258.811167,65818738.1
24,The Post,PG-13,Drama,A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.,81903458,2017,Best Picture,The Post,2018,0,Drama,,,116,2018,251.1068333,258.811167,84416378.75
25,Get Out,R,"Horror, Mystery, Thriller","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",176040665,2017,Best Picture,Get Out,2018,0,Horror, Mystery, Thriller,104,2018,251.1068333,258.811167,181441856.2
26,Dunkirk,PG-13,"Action, Drama, History","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",188373161,2017,Best Picture,Dunkirk,2018,0,Action, Drama, History,106,2018,251.1068333,258.811167,194152731.7
27,Hell or High Water,R,"Crime, Drama, Thriller",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,26862450,2016,Best Picture,Hell or High Water,2017,0,Crime, Drama, Thriller,102,2017,245.1195833,258.811167,28362899.2
28,Moonlight,R,Drama,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",27854932,2016,Best Picture,Moonlight,2017,1,Drama,,,111,2017,245.1195833,258.811167,29410818.02
29,Manchester by the Sea,R,Drama,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,47695371,2016,Best Picture,Manchester by the Sea,2017,0,Drama,,,137,2017,245.1195833,258.811167,50359479.49
30,Lion,PG-13,"Biography, Drama","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",51739495,2016,Best Picture,Lion,2017,0,Biography, Drama,,118,2017,245.1195833,258.811167,54629495.13
