,category,nominee,year,winner
4944,Best Picture,Lawrence of Arabia,1963,1.0
4945,Best Picture,The Longest Day,1963,0.0
4946,Best Picture,Meredith Willson's The Music Man,1963,0.0
4947,Best Picture,Mutiny on the Bounty,1963,0.0
4948,Best Picture,To Kill a Mockingbird,1963,0.0
5103,Best Picture,Tom Jones,1964,1.0
5104,Best Picture,America America,1964,0.0
5105,Best Picture,Cleopatra,1964,0.0
5106,Best Picture,How the West Was Won,1964,0.0
5107,Best Picture,Lilies of the Field,1964,0.0
5229,Best Picture,My Fair Lady,1965,1.0
5230,Best Picture,Becket,1965,0.0
5231,Best Picture,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1965,0.0
5232,Best Picture,Mary Poppins,1965,0.0
5233,Best Picture,Zorba the Greek,1965,0.0
5423,Best Picture,The Sound of Music,1966,1.0
5424,Best Picture,Darling,1966,0.0
5425,Best Picture,Doctor Zhivago,1966,0.0
5426,Best Picture,Ship of Fools,1966,0.0
5427,Best Picture,A Thousand Clowns,1966,0.0
5618,Best Picture,A Man for All Seasons,1967,1.0
5619,Best Picture,Alfie,1967,0.0
5620,Best Picture,The Russians Are Coming The Russians Are Coming,1967,0.0
5621,Best Picture,The Sand Pebbles,1967,0.0
5622,Best Picture,Who's Afraid of Virginia Woolf?,1967,0.0
5798,Best Picture,In the Heat of the Night,1968,1.0
5799,Best Picture,Bonnie and Clyde,1968,0.0
5800,Best Picture,Doctor Dolittle,1968,0.0
5801,Best Picture,The Graduate,1968,0.0
5802,Best Picture,Guess Who's Coming to Dinner,1968,0.0
5941,Best Picture,Oliver!,1969,1.0
5942,Best Picture,Funny Girl,1969,0.0
5943,Best Picture,The Lion in Winter,1969,0.0
5944,Best Picture,"Rachel, Rachel",1969,0.0
5945,Best Picture,Romeo and Juliet,1969,0.0
6080,Best Picture,Midnight Cowboy,1970,1.0
6081,Best Picture,Anne of the Thousand Days,1970,0.0
6082,Best Picture,Butch Cassidy and the Sundance Kid,1970,0.0
6083,Best Picture,"Hello, Dolly!",1970,0.0
6084,Best Picture,Z,1970,0.0
6256,Best Picture,Patton,1971,1.0
6257,Best Picture,Airport,1971,0.0
6258,Best Picture,Five Easy Pieces,1971,0.0
6259,Best Picture,Love Story,1971,0.0
6260,Best Picture,M*A*S*H,1971,0.0
6360,Best Picture,The French Connection,1972,1.0
6361,Best Picture,A Clockwork Orange,1972,0.0
6362,Best Picture,Fiddler on the Roof,1972,0.0
6363,Best Picture,The Last Picture Show,1972,0.0
6364,Best Picture,Nicholas and Alexandra,1972,0.0
6497,Best Picture,The Godfather,1973,1.0
6498,Best Picture,Cabaret,1973,0.0
6499,Best Picture,Deliverance,1973,0.0
6500,Best Picture,The Emigrants,1973,0.0
6501,Best Picture,Sounder,1973,0.0
6671,Best Picture,The Sting,1974,1.0
6672,Best Picture,American Graffiti,1974,0.0
6673,Best Picture,Cries and Whispers,1974,0.0
6674,Best Picture,The Exorcist,1974,0.0
6675,Best Picture,A Touch of Class,1974,0.0
6805,Best Picture,The Godfather Part II,1975,1.0
6806,Best Picture,Chinatown,1975,0.0
6807,Best Picture,The Conversation,1975,0.0
6808,Best Picture,Lenny,1975,0.0
6809,Best Picture,The Towering Inferno,1975,0.0
6982,Best Picture,One Flew over the Cuckoo's Nest,1976,1.0
6983,Best Picture,Barry Lyndon,1976,0.0
6984,Best Picture,Dog Day Afternoon,1976,0.0
6985,Best Picture,Jaws,1976,0.0
6986,Best Picture,Nashville,1976,0.0
7125,Best Picture,Rocky,1977,1.0
7126,Best Picture,All the President's Men,1977,0.0
7127,Best Picture,Bound for Glory,1977,0.0
7128,Best Picture,Network,1977,0.0
7129,Best Picture,Taxi Driver,1977,0.0
7301,Best Picture,Annie Hall,1978,1.0
7302,Best Picture,The Goodbye Girl,1978,0.0
7303,Best Picture,Julia,1978,0.0
7304,Best Picture,Star Wars,1978,0.0
7305,Best Picture,The Turning Point,1978,0.0
7441,Best Picture,The Deer Hunter,1979,1.0
7442,Best Picture,Coming Home,1979,0.0
7443,Best Picture,Heaven Can Wait,1979,0.0
7444,Best Picture,Midnight Express,1979,0.0
7445,Best Picture,An Unmarried Woman,1979,0.0
7617,Best Picture,Kramer vs. Kramer,1980,1.0
7618,Best Picture,All That Jazz,1980,0.0
7619,Best Picture,Apocalypse Now,1980,0.0
7620,Best Picture,Breaking Away,1980,0.0
7621,Best Picture,Norma Rae,1980,0.0
7722,Best Picture,Ordinary People,1981,1.0
7723,Best Picture,Coal Miner's Daughter,1981,0.0
7724,Best Picture,The Elephant Man,1981,0.0
7725,Best Picture,Raging Bull,1981,0.0
7726,Best Picture,Tess,1981,0.0
7894,Best Picture,Chariots of Fire,1982,1.0
7895,Best Picture,Atlantic City,1982,0.0
7896,Best Picture,On Golden Pond,1982,0.0
7897,Best Picture,Raiders of the Lost Ark,1982,0.0
7898,Best Picture,Reds,1982,0.0
8034,Best Picture,Gandhi,1983,1.0
8035,Best Picture,E.T. The Extra-Terrestrial,1983,0.0
8036,Best Picture,Missing,1983,0.0
8037,Best Picture,Tootsie,1983,0.0
8038,Best Picture,The Verdict,1983,0.0
8176,Best Picture,Terms of Endearment,1984,1.0
8177,Best Picture,The Big Chill,1984,0.0
8178,Best Picture,The Dresser,1984,0.0
8179,Best Picture,The Right Stuff,1984,0.0
8180,Best Picture,Tender Mercies,1984,0.0
8316,Best Picture,Amadeus,1985,1.0
8317,Best Picture,The Killing Fields,1985,0.0
8318,Best Picture,A Passage to India,1985,0.0
8319,Best Picture,Places in the Heart,1985,0.0
8320,Best Picture,A Soldier's Story,1985,0.0
8454,Best Picture,Out of Africa,1986,1.0
8455,Best Picture,The Color Purple,1986,0.0
8456,Best Picture,Kiss of the Spider Woman,1986,0.0
8457,Best Picture,Prizzi's Honor,1986,0.0
8458,Best Picture,Witness,1986,0.0
8599,Best Picture,Platoon,1987,1.0
8600,Best Picture,Children of a Lesser God,1987,0.0
8601,Best Picture,Hannah and Her Sisters,1987,0.0
8602,Best Picture,The Mission,1987,0.0
8603,Best Picture,A Room with a View,1987,0.0
