,title,runtime,rating,genre,summary,gross,year
0,Nomadland,107 min,R,Drama,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",,2020
1,The Father,97 min,PG-13,"Drama, Mystery","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",,2020
2,Judas and the Black Messiah,126 min,R,"Biography, Drama, History","Offered a plea deal by the FBI, William O'Neal infiltrates the Illinois chapter of the Black Panther Party to gather intelligence on Chairman Fred Hampton.",,2021
3,Mank,131 min,R,"Biography, Comedy, Drama",1930s Hollywood is re-evaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).,,2020
4,Minari,115 min,PG-13,Drama,A Korean family starts a farm in 1980s Arkansas.,,2020
5,Promising Young Woman,113 min,R,"Crime, Drama, Mystery","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",,2020
6,Sound of Metal,120 min,R,"Drama, Music",A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,,2019
7,The Trial of the Chicago ,129 min,R,"Drama, History, Thriller","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",,2020
8,Parasite,132 min,R,"Comedy, Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"53,367,844",2019
9,Ford v Ferrari,152 min,PG-13,"Action, Biography, Drama",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"117,624,028",2019
10,Joker,122 min,R,"Crime, Drama, Thriller",A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,"335,451,311",2019
