,film,producer,release_year
0,Wings,Famous Players-Lasky,1927
1,7th Heaven,Fox,1927
2,The Racket,The Caddo Company,1927
3,The Broadway Melody,Metro-Goldwyn-Mayer,1928
4,Alibi,Feature Productions,1928
5,Hollywood Revue,Metro-Goldwyn-Mayer,1928
6,In Old Arizona,Fox,1928
7,The Patriot,Paramount Famous Lasky,1928
8,All Quiet on the Western Front,Universal,1929
9,The Big House,Cosmopolitan,1929
10,Disraeli,Warner Bros.,1929
11,The Divorcee,Metro-Goldwyn-Mayer,1929
12,The Love Parade,Paramount Famous Lasky,1929
13,Cimarron,RKO Radio,1930
14,East Lynne,Fox,1930
15,The Front Page,The Caddo Company,1930
16,Skippy,Paramount Publix,1930
17,Trader Horn,Metro-Goldwyn-Mayer,1930
18,Grand Hotel,Metro-Goldwyn-Mayer,1931
19,Arrowsmith,Samuel Goldwyn Productions,1931
20,Bad Girl,Fox,1931
21,The Champ,Metro-Goldwyn-Mayer,1931
22,Five Star Final,First National,1931
23,One Hour with You,Paramount Publix,1931
24,Shanghai Express,Paramount Publix,1931
25,The Smiling Lieutenant,Paramount Publix,1931
26,Cavalcade,Fox,1932
27,42nd Street,Warner Bros.,1932
28,A Farewell to Arms,Paramount,1932
29,I Am a Fugitive from a Chain Gang,Warner Bros.,1932
30,Lady for a Day,Columbia,1932
31,Little Women,RKO Radio,1932
32,The Private Life of Henry VIII,London Films,1932
33,She Done Him Wrong,Paramount,1932
34,Smilin' Through,Metro-Goldwyn-Mayer,1932
35,State Fair,Fox,1932
36,It Happened One Night,Columbia,1934
37,The Barretts of Wimpole Street,Metro-Goldwyn-Mayer,1934
38,Cleopatra,Paramount,1934
39,Flirtation Walk,First National,1934
40,The Gay Divorcee,RKO Radio,1934
41,Here Comes the Navy,Warner Bros.,1934
42,The House of Rothschild,20th Century,1934
43,Imitation of Life,Universal,1934
44,One Night of Love,Columbia,1934
45,The Thin Man,Metro-Goldwyn-Mayer,1934
46,Viva Villa!,Metro-Goldwyn-Mayer,1934
47,The White Parade,Jesse L. Lasky (production company),1934
48,Mutiny on the Bounty,Metro-Goldwyn-Mayer,1935
49,Alice Adams,RKO Radio,1935
50,Broadway Melody of 1936,Metro-Goldwyn-Mayer,1935
51,Captain Blood,Cosmopolitan,1935
52,David Copperfield,Metro-Goldwyn-Mayer,1935
53,The Informer,RKO Radio,1935
54,The Lives of a Bengal Lancer,Paramount,1935
55,A Midsummer Night's Dream,Warner Bros.,1935
56,Les Misérables,20th Century,1935
57,Naughty Marietta,Metro-Goldwyn-Mayer,1935
58,Ruggles of Red Gap,Paramount,1935
59,Top Hat,RKO Radio,1935
60,The Great Ziegfeld,Metro-Goldwyn-Mayer,1936
61,Anthony Adverse,Warner Bros.,1936
62,Dodsworth,Samuel Goldwyn Productions,1936
63,Libeled Lady,Metro-Goldwyn-Mayer,1936
64,Mr. Deeds Goes to Town,Columbia,1936
65,Romeo and Juliet,Metro-Goldwyn-Mayer,1936
66,San Francisco,Metro-Goldwyn-Mayer,1936
67,The Story of Louis Pasteur,Cosmopolitan,1936
68,A Tale of Two Cities,Metro-Goldwyn-Mayer,1936
69,Three Smart Girls,Universal,1936
70,The Life of Emile Zola,Warner Bros.,1937
71,The Awful Truth,Columbia,1937
72,Captains Courageous,Metro-Goldwyn-Mayer,1937
73,Dead End,Samuel Goldwyn Productions,1937
74,The Good Earth,Metro-Goldwyn-Mayer,1937
75,In Old Chicago,20th Century-Fox,1937
76,Lost Horizon,Columbia,1937
77,One Hundred Men and a Girl,Universal,1937
78,Stage Door,RKO Radio,1937
79,A Star Is Born,Selznick International Pictures,1937
80,You Can't Take It with You,Columbia,1938
81,The Adventures of Robin Hood,Warner Bros.-First National,1938
82,Alexander's Ragtime Band,20th Century-Fox,1938
83,Boys Town,Metro-Goldwyn-Mayer,1938
84,The Citadel,Metro-Goldwyn-Mayer,1938
85,Four Daughters,Warner Bros.-First National,1938
86,Grand Illusion,Realization D'Art Cinematographique,1938
87,Jezebel,Warner Bros.,1938
88,Pygmalion,Metro-Goldwyn-Mayer,1938
89,Test Pilot,Metro-Goldwyn-Mayer,1938
90,Gone with the Wind,Selznick International Pictures,1939
91,Dark Victory,Warner Bros.-First National,1939
92,"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer,1939
93,Love Affair,RKO Radio,1939
94,Mr. Smith Goes to Washington,Columbia,1939
95,Ninotchka,Metro-Goldwyn-Mayer,1939
96,Of Mice and Men,Hal Roach (production company),1939
97,Stagecoach,Walter Wanger (production company),1939
98,The Wizard of Oz,Metro-Goldwyn-Mayer,1939
99,Wuthering Heights,Samuel Goldwyn Productions,1939
100,Rebecca,Selznick International Pictures,1940
101,"All This, and Heaven Too",Warner Bros.,1940
102,Foreign Correspondent,Walter Wanger (production company),1940
103,The Grapes of Wrath,20th Century-Fox,1940
104,The Great Dictator,Charles Chaplin Productions,1940
105,Kitty Foyle,RKO Radio,1940
106,The Letter,Warner Bros.,1940
107,The Long Voyage Home,Argosy-Wanger,1940
108,Our Town,Sol Lesser (production company),1940
109,The Philadelphia Story,Metro-Goldwyn-Mayer,1940
110,How Green Was My Valley,20th Century-Fox,1941
111,Blossoms in the Dust,Metro-Goldwyn-Mayer,1941
112,Citizen Kane,Mercury,1941
113,Here Comes Mr. Jordan,Columbia,1941
114,Hold Back the Dawn,Paramount,1941
115,The Little Foxes,Samuel Goldwyn Productions,1941
116,The Maltese Falcon,Warner Bros.,1941
117,One Foot in Heaven,Warner Bros.,1941
118,Sergeant York,Warner Bros.,1941
119,Suspicion,RKO Radio,1941
120,Mrs. Miniver,Metro-Goldwyn-Mayer,1942
121,49th Parallel[33],Ortus,1942
122,Kings Row,Warner Bros.,1942
123,The Magnificent Ambersons,Mercury,1942
124,The Pied Piper,20th Century-Fox,1942
125,The Pride of the Yankees,Samuel Goldwyn Productions,1942
126,Random Harvest,Metro-Goldwyn-Mayer,1942
127,The Talk of the Town,Columbia,1942
128,Wake Island,Paramount,1942
129,Yankee Doodle Dandy,Warner Bros.,1942
130,Casablanca,Warner Bros.,1943
131,For Whom the Bell Tolls,Paramount,1943
132,Heaven Can Wait,20th Century-Fox,1943
133,The Human Comedy,Metro-Goldwyn-Mayer,1943
134,In Which We Serve,Two Cities Films,1943
135,Madame Curie,Metro-Goldwyn-Mayer,1943
136,The More the Merrier,Columbia,1943
137,The Ox-Bow Incident,20th Century-Fox,1943
138,The Song of Bernadette,20th Century-Fox,1943
139,Watch on the Rhine,Warner Bros.,1943
140,Going My Way,Paramount,1944
141,Double Indemnity,Paramount,1944
142,Gaslight,Metro-Goldwyn-Mayer,1944
143,Since You Went Away,Selznick International Pictures,1944
144,Wilson,20th Century-Fox,1944
145,The Lost Weekend,Paramount,1945
146,Anchors Aweigh,Metro-Goldwyn-Mayer,1945
147,The Bells of St. Mary's,Rainbow Productions,1945
148,Mildred Pierce,Warner Bros.,1945
149,Spellbound,Selznick International Pictures,1945
150,The Best Years of Our Lives,Samuel Goldwyn Productions,1946
151,Henry V,Two Cities Films,1946
152,It's a Wonderful Life,Liberty Films,1946
153,The Razor's Edge,20th Century-Fox,1946
154,The Yearling,Metro-Goldwyn-Mayer,1946
155,Gentleman's Agreement,20th Century-Fox,1947
156,The Bishop's Wife,Samuel Goldwyn Productions,1947
157,Crossfire,RKO Radio,1947
158,Great Expectations,J. Arthur Rank-Cineguild,1947
159,Miracle on 34th Street,20th Century-Fox,1947
160,Hamlet,J. Arthur Rank-Two Cities Films,1948
161,Johnny Belinda,Warner Bros.,1948
162,The Red Shoes,J. Arthur Rank-Archers,1948
163,The Snake Pit,20th Century-Fox,1948
164,The Treasure of the Sierra Madre,Warner Bros.,1948
165,All the King's Men,Columbia,1949
166,Battleground,Metro-Goldwyn-Mayer,1949
167,The Heiress,Paramount,1949
168,A Letter to Three Wives,20th Century-Fox,1949
169,Twelve O'Clock High,20th Century-Fox,1949
170,All About Eve,20th Century-Fox,1950
171,Born Yesterday,Columbia,1950
172,Father of the Bride,Metro-Goldwyn-Mayer,1950
173,King Solomon's Mines,Metro-Goldwyn-Mayer,1950
174,Sunset Boulevard,Paramount,1950
175,An American in Paris,Arthur Freed,1951
176,Decision Before Dawn,Anatole Litvak and Frank McCarthy,1951
177,A Place in the Sun,George Stevens,1951
178,Quo Vadis,Sam Zimbalist,1951
179,A Streetcar Named Desire,Charles K. Feldman,1951
180,The Greatest Show on Earth,Cecil B. DeMille,1952
181,High Noon,Stanley Kramer,1952
182,Ivanhoe,Pandro S. Berman,1952
183,Moulin Rouge,John and James Woolf,1952
184,The Quiet Man,John Ford and Merian C. Cooper,1952
185,From Here to Eternity,Buddy Adler,1953
186,Julius Caesar,John Houseman,1953
187,The Robe,Frank Ross,1953
188,Roman Holiday,William Wyler,1953
189,Shane,George Stevens,1953
190,On the Waterfront,Sam Spiegel,1954
191,The Caine Mutiny,Stanley Kramer,1954
192,The Country Girl,William Perlberg,1954
193,Seven Brides for Seven Brothers,Jack Cummings,1954
194,Three Coins in the Fountain,Sol C. Siegel,1954
195,Marty,Harold Hecht,1955
196,Love Is a Many-Splendored Thing,Buddy Adler,1955
197,Mister Roberts,Leland Hayward,1955
198,Picnic,Fred Kohlmar,1955
199,The Rose Tattoo,Hal B. Wallis,1955
200,Around the World in 80 Days,Michael Todd,1956
201,Friendly Persuasion,William Wyler,1956
202,Giant,George Stevens and Henry Ginsberg,1956
203,The King and I,Charles Brackett,1956
204,The Ten Commandments,Cecil B. DeMille,1956
205,The Bridge on the River Kwai,Sam Spiegel,1957
